Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Russia,FDKLCUGLN,Online,M,7/10/2017,194176757,8/20/2017,72,989.45,840.03,16481.06,44571.78,84283.84
Europe,Ukraine,FGIPCAOVI,Online,H,1/22/2011,773645913,1/28/2011,7873,872.4,295.75,2296708.7,2073197.09,4449020.47
Europe,Bosnia and Herzegovina,NJDZ,Online,H,7/24/2012,410740888,9/1/2012,6211,829.4,620.06,1226040.4,1412861.16,912292.9
Europe,Latvia,NJDZ,Offline,M,12/15/2011,847317397,12/18/2011,8902,829.4,620.06,8812745.78,4031280.65,292895.2
Europe,Serbia,STBZQKASF,Online,L,9/3/2012,599624192,9/21/2012,978,68.74,89.25,67693.7,95211.03,18751.14
Europe,Portugal,BKXKLU DDPSOJWD,Online,M,1/21/2014,734318292,3/4/2014,9956,458.83,555.36,5005568.31,1797765.02,9733090.0
Europe,Poland,FDKLCUGLN,Offline,L,7/7/2017,232196319,8/4/2017,905,989.45,840.03,509199.28,903834.1,396166.69
Europe,Liechtenstein,FGIPCAOVI,Online,L,7/15/2012,229693067,7/15/2012,138,872.4,295.75,76512.0,52749.42,23994.06
Europe,United Kingdom,STBZQKASF,Online,C,4/8/2017,121945512,4/12/2017,5242,68.74,89.25,289701.1,194164.89,97397.43
Europe,Slovenia,SMSUAK,Online,H,10/22/2012,169799983,11/20/2012,6443,7.6,2.21,19413.22,17268.57,63369.09
Europe,Malta,ZNVGEIJCUP,Online,M,3/11/2014,894589078,4/10/2014,7643,154.06,74.0,5617927.91,654981.9,726531.52
Europe,Ukraine,WKDGNQJQ DOKJ,Online,M,7/16/2010,987459170,8/27/2010,9967,51.61,54.89,953214.6,115939.04,249773.02
Europe,Cyprus,SMSUAK,Offline,M,7/12/2015,600515115,8/30/2015,4622,7.6,2.21,48491.91,55249.13,11139.02
Europe,Poland,BKXKLU DDPSOJWD,Offline,M,11/27/2015,208365428,12/29/2015,8815,458.83,555.36,6323322.98,1782317.0,3408532.29
Europe,Monaco,WKDGNQJQ DOKJ,Online,L,6/8/2014,263098371,7/4/2014,5509,51.61,54.89,589575.72,312195.03,205984.97
Europe,Estonia,FGIPCAOVI,Online,C,5/23/2011,790149009,5/29/2011,1505,872.4,295.75,894692.0,598677.36,713878.37
Europe,Norway,BNBVXP,Online,M,10/8/2014,100640618,10/18/2014,650,970.5,981.46,853260.0,40054.7,29371.8
Europe,Luxembourg,KYUTZQ,Online,H,2/1/2011,977324712,3/10/2011,955,292.81,88.89,228816.9,15262.4,69975.4
Europe,Luxembourg,KYUTZQ,Online,H,9/7/2010,510956799,9/23/2010,2326,292.81,88.89,354901.08,789363.8,997629.03
Europe,Armenia,SMSUAK,Online,M,3/23/2011,120977771,5/2/2011,8866,7.6,2.21,24661.85,18189.46,21367.06
Europe,Bulgaria,KYUTZQ,Offline,L,3/11/2017,476991450,3/27/2017,1225,292.81,88.89,928012.8,606275.0,48139.5
Europe,Denmark,STBZQKASF,Online,H,6/5/2016,973268353,6/26/2016,589,68.74,89.25,27948.05,45142.15,8969.29
Europe,Finland,ZNVGEIJCUP,Offline,L,2/14/2013,771674382,3/21/2013,4453,154.06,74.0,835846.43,914923.19,756106.14
Europe,Kosovo,SMSUAK,Online,L,5/2/2010,291995418,6/6/2010,6788,7.6,2.21,63332.04,90093.77,16359.08
Europe,Hungary,YVOW ABYK,Online,M,1/25/2011,128686225,3/13/2011,9968,194.89,609.6,2544631.04,8593344.67,967682.39
Europe,Lithuania,FGIPCAOVI,Offline,L,1/6/2012,420875346,2/18/2012,5223,872.4,295.75,7579713.0,4426798.2,908123.01
Europe,Albania,ZNVGEIJCUP,Online,C,10/5/2012,476633536,11/3/2012,5310,154.06,74.0,932808.5,558182.9,738935.6
Europe,Cyprus,ZNVGEIJCUP,Offline,C,7/2/2014,727997720,7/19/2014,9558,154.06,74.0,6539182.03,739268.6,472486.28
Europe,Moldova ,WKDGNQJQ DOKJ,Online,M,3/11/2013,467045819,4/12/2013,8092,51.61,54.89,844143.32,253572.32,835605.63
Europe,Kosovo,FGIPCAOVI,Offline,C,11/1/2012,813973891,11/13/2012,1818,872.4,295.75,614025.8,899830.08,508044.64
Europe,Albania,FGIPCAOVI,Offline,L,9/30/2016,576944720,10/9/2016,9619,872.4,295.75,2295465.6,7794891.04,7148302.94
Europe,Portugal,YVOW ABYK,Online,L,8/3/2015,404789817,9/8/2015,5157,194.89,609.6,7575376.57,136588.21,494350.02
Europe,Bosnia and Herzegovina,YVOW ABYK,Online,C,4/30/2014,871923768,5/30/2014,474,194.89,609.6,240309.0,75565.08,64987.97
Europe,Kosovo,ZNVGEIJCUP,Offline,C,12/18/2012,818976962,12/21/2012,2337,154.06,74.0,523576.25,159575.85,242458.22
Europe,Switzerland,FGIPCAOVI,Online,C,7/20/2017,233811223,7/20/2017,8792,872.4,295.75,9491251.8,9132088.55,1528665.04
Europe,Lithuania,BKXKLU DDPSOJWD,Offline,C,12/15/2016,112330758,1/11/2017,22,458.83,555.36,96168.47,52617.29,6347.9
Europe,Montenegro,BKXKLU DDPSOJWD,Offline,H,7/2/2014,256095016,8/21/2014,3061,458.83,555.36,6834346.44,8479664.14,187583.67
Europe,France,NJDZ,Online,L,11/28/2015,245440852,12/17/2015,257,829.4,620.06,503200.72,77631.5,21050.5
Europe,Spain,SMSUAK,Online,H,10/22/2011,817006289,11/14/2011,9172,7.6,2.21,25149.83,28312.68,29709.12
Europe,Sweden,ZNVGEIJCUP,Online,H,9/20/2010,298228013,10/25/2010,1151,154.06,74.0,177323.06,625301.24,58318.22
Europe,Latvia,KYUTZQ,Online,C,3/15/2017,972981679,4/9/2017,5755,292.81,88.89,983990.2,522666.9,735069.9
Europe,Norway,WKDGNQJQ DOKJ,Offline,M,6/8/2012,594813811,6/17/2012,7480,51.61,54.89,290573.1,379532.9,746970.4
Europe,Estonia,JTSBQPV,Online,H,9/8/2012,176722657,9/16/2012,5016,400.68,75.97,915673.34,657861.8,368375.04
Europe,Malta,WKDGNQJQ DOKJ,Offline,M,8/16/2011,466988742,8/16/2011,1201,51.61,54.89,66323.72,61489.31,30097.06
Europe,Portugal,BNBVXP,Online,C,8/11/2015,615080583,9/19/2015,4868,970.5,981.46,4773952.7,253669.44,323813.18
Europe,Macedonia,FGIPCAOVI,Online,C,12/26/2010,350977408,1/22/2011,869,872.4,295.75,949023.1,464361.72,151093.03
Europe,Greece,WKDGNQJQ DOKJ,Offline,M,12/8/2011,701298367,1/6/2012,8626,51.61,54.89,974938.71,737323.07,111222.7
Europe,Italy,WKDGNQJQ DOKJ,Online,C,2/25/2011,309342658,3/28/2011,222,51.61,54.89,18144.06,89706.42,3984.98
Europe,Norway,FDKLCUGLN,Offline,M,3/20/2010,384128224,4/26/2010,933,989.45,840.03,458827.1,410109.87,154626.09
Europe,Netherlands,FDKLCUGLN,Offline,C,1/17/2014,990774810,2/18/2014,1138,989.45,840.03,616760.61,294449.03,165700.0
Europe,Belgium,ZNVGEIJCUP,Offline,C,12/26/2011,394110763,12/29/2011,4988,154.06,74.0,227091.44,242531.41,111721.01
Europe,Kosovo,SMSUAK,Online,C,3/2/2012,899868094,3/26/2012,9821,7.6,2.21,45773.0,77320.62,96124.08
Europe,Germany,YVOW ABYK,Offline,L,1/6/2017,361311852,2/15/2017,9061,194.89,609.6,2313092.08,8072514.8,369400.86
Europe,Hungary,STBZQKASF,Online,L,5/20/2014,930136287,6/21/2014,6852,68.74,89.25,668108.0,217825.08,321215.61
Europe,Bulgaria,FGIPCAOVI,Online,C,5/5/2012,179819428,6/2/2012,1420,872.4,295.75,708671.0,793197.0,230954.2
Europe,Bosnia and Herzegovina,SMSUAK,Online,H,1/5/2013,291305768,1/6/2013,2705,7.6,2.21,14299.5,30949.2,6519.05
Europe,Russia,WKDGNQJQ DOKJ,Online,L,4/24/2015,602357041,5/5/2015,9689,51.61,54.89,887005.05,218986.62,702279.41
Europe,Albania,KYUTZQ,Online,H,12/2/2010,653087270,12/7/2010,1891,292.81,88.89,754633.57,184259.04,973691.75
Europe,Slovenia,SMSUAK,Offline,M,12/15/2013,812637078,1/5/2014,6225,7.6,2.21,35424.85,28687.0,18077.53
Europe,Macedonia,WKDGNQJQ DOKJ,Online,L,7/19/2014,456192958,8/18/2014,6489,51.61,54.89,306272.51,422663.1,464037.0
Europe,Albania,NJDZ,Offline,H,1/31/2013,986449801,3/13/2013,1272,829.4,620.06,536644.08,256005.43,29295.8
Europe,Sweden,FGIPCAOVI,Online,L,7/3/2017,910610234,7/31/2017,8659,872.4,295.75,2717422.5,3824223.04,4364931.56
Europe,Norway,NJDZ,Online,M,3/3/2017,696844613,3/22/2017,661,829.4,620.06,669951.77,241060.09,38091.6
Europe,Czech Republic,WKDGNQJQ DOKJ,Online,M,12/4/2010,353415429,12/8/2010,2334,51.61,54.89,866261.35,619739.11,58490.04
Europe,Andorra,BNBVXP,Online,H,3/19/2010,696197879,3/26/2010,9278,970.5,981.46,8424290.2,1197988.69,821938.02
Europe,Iceland,FGIPCAOVI,Online,C,4/5/2012,907349526,5/16/2012,3743,872.4,295.75,5778380.0,274101.38,683629.47
Europe,Poland,WKDGNQJQ DOKJ,Offline,C,4/5/2014,386440074,4/25/2014,5060,51.61,54.89,456687.5,652899.7,329612.3
Europe,Finland,ZNVGEIJCUP,Online,H,9/28/2012,800352561,10/21/2012,963,154.06,74.0,696237.03,39180.75,62307.12
Europe,Poland,STBZQKASF,Offline,C,1/8/2014,714165675,2/2/2014,6348,68.74,89.25,752170.3,862714.65,84056.68
Europe,Croatia,STBZQKASF,Offline,L,2/22/2013,189924275,3/21/2013,1668,68.74,89.25,46480.0,81501.25,55858.95
Europe,Poland,NJDZ,Online,H,4/30/2013,546081721,5/22/2013,6571,829.4,620.06,9287170.96,6210592.9,336305.3
Europe,Switzerland,YVOW ABYK,Online,C,6/26/2010,979073941,7/18/2010,8591,194.89,609.6,1991270.95,7046148.35,101426.3
Europe,Bosnia and Herzegovina,WKDGNQJQ DOKJ,Offline,L,2/7/2010,396718728,3/18/2010,6742,51.61,54.89,457432.84,497908.89,831615.94
Europe,Hungary,STBZQKASF,Offline,M,12/3/2010,948075759,1/4/2011,5540,68.74,89.25,864450.0,613260.8,66648.8
Europe,Sweden,BNBVXP,Offline,L,10/19/2012,737736070,11/3/2012,1352,970.5,981.46,363088.4,256135.78,282442.7
Europe,Slovakia,FDKLCUGLN,Offline,L,2/20/2010,585362994,4/11/2010,773,989.45,840.03,383846.25,821625.0,484751.93
Europe,Czech Republic,YVOW ABYK,Offline,H,7/18/2015,850872075,8/1/2015,810,194.89,609.6,783183.6,274228.7,92864.3
Europe,Bosnia and Herzegovina,BKXKLU DDPSOJWD,Offline,C,11/8/2012,575583016,11/24/2012,6660,458.83,555.36,8542718.3,8815686.3,109317.0
Europe,Kosovo,NJDZ,Offline,H,2/1/2011,515773189,2/17/2011,7603,829.4,620.06,8488629.21,2772738.07,159973.5
Europe,Monaco,WKDGNQJQ DOKJ,Online,H,3/29/2016,351247346,5/8/2016,750,51.61,54.89,76525.9,82544.4,33496.0
Europe,Portugal,STBZQKASF,Offline,H,1/20/2016,554721438,1/28/2016,3256,68.74,89.25,834039.5,763617.39,78038.38
Europe,Germany,BNBVXP,Offline,C,2/19/2010,398333632,3/2/2010,4629,970.5,981.46,612153.4,222373.98,524478.37
Europe,Vatican City,STBZQKASF,Online,C,12/27/2015,370484149,1/19/2016,3348,68.74,89.25,477015.4,417401.18,15908.46
Europe,Denmark,YVOW ABYK,Offline,H,9/29/2013,306839406,10/1/2013,9454,194.89,609.6,4841379.41,9410778.25,426746.01
Europe,Estonia,STBZQKASF,Offline,C,2/9/2017,653548610,2/21/2017,8412,68.74,89.25,103181.6,636471.86,555538.67
Europe,Belarus,ZNVGEIJCUP,Online,L,12/31/2012,413078916,1/11/2013,8086,154.06,74.0,6643384.53,826608.41,111730.78
Europe,Italy,KYUTZQ,Online,M,12/14/2010,307721745,1/1/2011,558,292.81,88.89,33493.82,31507.84,92447.21
Europe,Kosovo,BKXKLU DDPSOJWD,Online,C,11/9/2011,374663245,11/26/2011,35,458.83,555.36,21645.37,56751.8,9714.6
Europe,Ireland,ZNVGEIJCUP,Offline,C,11/16/2010,901670968,12/11/2010,3331,154.06,74.0,434201.61,918226.15,210286.03
Europe,Montenegro,FGIPCAOVI,Offline,L,8/19/2012,353320157,8/22/2012,4141,872.4,295.75,5340009.2,6422187.06,830764.11
Europe,Norway,BNBVXP,Offline,L,6/20/2013,645701968,7/21/2013,6416,970.5,981.46,2826602.9,448366.49,229984.87
Europe,Poland,BKXKLU DDPSOJWD,Online,H,9/19/2013,148894631,9/25/2013,85,458.83,555.36,25026.67,81301.5,49839.72
Europe,Sweden,YVOW ABYK,Online,L,4/3/2013,443551385,5/9/2013,5566,194.89,609.6,6526029.65,828580.22,226669.18
Europe,Vatican City,JTSBQPV,Offline,H,3/11/2014,508014523,3/20/2014,1642,400.68,75.97,622908.66,34921.24,467317.01
Europe,Lithuania,BKXKLU DDPSOJWD,Online,C,7/8/2012,987767302,8/1/2012,1150,458.83,555.36,818990.3,607618.0,214596.3
Europe,Croatia,YVOW ABYK,Offline,H,9/19/2012,103832662,10/20/2012,5247,194.89,609.6,7872718.9,791983.15,486707.08
Europe,Malta,WKDGNQJQ DOKJ,Online,H,2/19/2014,445708739,2/27/2014,3975,51.61,54.89,362142.95,952568.6,20727.1
Europe,Macedonia,STBZQKASF,Offline,M,7/24/2012,354655683,7/31/2012,9353,68.74,89.25,210577.01,320515.35,223425.77
Europe,Belarus,BKXKLU DDPSOJWD,Offline,C,6/30/2017,624398362,7/24/2017,2206,458.83,555.36,3696286.64,6798093.48,414012.0
Europe,Liechtenstein,STBZQKASF,Online,C,9/5/2016,264163959,9/22/2016,840,68.74,89.25,48496.0,43813.0,56857.3
Europe,Russia,BKXKLU DDPSOJWD,Offline,H,10/16/2011,520915305,11/7/2011,9270,458.83,555.36,6301842.2,3949991.7,8086593.4
Europe,Armenia,BNBVXP,Online,H,2/5/2013,424181544,3/4/2013,3600,970.5,981.46,103942.0,931650.0,382586.0
Europe,United Kingdom,BKXKLU DDPSOJWD,Online,H,7/3/2015,560762631,7/16/2015,979,458.83,555.36,268853.74,226416.41,151486.2
Europe,Moldova ,BKXKLU DDPSOJWD,Offline,L,4/4/2015,458816373,4/16/2015,2815,458.83,555.36,1364210.89,6856970.6,912872.48
Europe,Netherlands,FDKLCUGLN,Offline,L,8/18/2013,142987763,9/1/2013,2112,989.45,840.03,2693636.66,2146041.6,824504.49
Europe,Andorra,KYUTZQ,Offline,C,1/23/2010,480904042,2/5/2010,9048,292.81,88.89,3325899.98,554503.84,585428.29
Europe,Armenia,ZNVGEIJCUP,Online,M,12/7/2016,571323239,1/1/2017,6097,154.06,74.0,761522.79,341664.0,885022.27
Europe,Italy,KYUTZQ,Online,H,9/16/2012,281100928,11/3/2012,2866,292.81,88.89,426391.5,279263.04,821298.69
Europe,Croatia,FDKLCUGLN,Online,L,4/26/2013,659196269,6/1/2013,9680,989.45,840.03,6839163.1,6236257.5,1863106.3
Europe,Bulgaria,WKDGNQJQ DOKJ,Offline,H,10/24/2012,595496594,11/4/2012,9530,51.61,54.89,372561.7,561891.0,777662.6
Europe,Ireland,WKDGNQJQ DOKJ,Offline,H,5/30/2010,354931628,6/8/2010,1011,51.61,54.89,82629.03,84031.1,29284.15
Europe,Spain,NJDZ,Offline,C,11/29/2011,436969029,12/17/2011,7701,829.4,620.06,1318117.4,3527924.95,638726.2
Europe,Moldova ,ZNVGEIJCUP,Online,L,3/28/2016,810752236,5/4/2016,8458,154.06,74.0,5332525.37,286900.89,860540.68
Europe,Italy,BKXKLU DDPSOJWD,Offline,C,7/8/2011,886620128,7/25/2011,9453,458.83,555.36,7567812.21,8103562.16,8933833.22
Europe,Finland,BNBVXP,Offline,M,4/10/2010,889093768,5/20/2010,1458,970.5,981.46,106782.9,779275.23,199780.31
Europe,Poland,BNBVXP,Online,C,8/6/2011,454550588,9/6/2011,475,970.5,981.46,35289.2,68155.98,35426.73
Europe,Austria,BKXKLU DDPSOJWD,Online,L,2/18/2017,926064479,3/10/2017,1913,458.83,555.36,6072490.43,6742087.37,762895.65
Europe,Andorra,SMSUAK,Offline,C,6/29/2016,413245427,7/2/2016,7360,7.6,2.21,72180.6,87573.2,33062.8
Europe,Finland,STBZQKASF,Online,H,9/18/2011,884147775,10/19/2011,7829,68.74,89.25,371486.05,695712.36,108984.1
Europe,Andorra,FGIPCAOVI,Online,C,6/30/2012,328322827,7/19/2012,6876,872.4,295.75,7748798.1,1810657.08,2393892.29
Europe,Germany,KYUTZQ,Online,H,3/22/2014,158673751,5/10/2014,3944,292.81,88.89,270546.37,699420.96,708074.23
Europe,Italy,KYUTZQ,Offline,L,1/7/2014,464911210,2/10/2014,6413,292.81,88.89,652825.74,361158.5,950655.55
Europe,Serbia,STBZQKASF,Online,C,10/12/2010,395562589,12/1/2010,4615,68.74,89.25,396966.63,895722.57,66078.1
Europe,Italy,YVOW ABYK,Offline,H,3/1/2012,459372985,3/22/2012,7529,194.89,609.6,9999013.27,4487058.05,152344.22
Europe,Armenia,NJDZ,Online,L,6/25/2012,693210542,8/13/2012,5259,829.4,620.06,5094804.16,1331813.95,126284.9
Europe,Sweden,SMSUAK,Offline,L,8/22/2011,153974950,9/20/2011,3464,7.6,2.21,44156.05,84207.7,5557.93
Europe,Romania,KYUTZQ,Online,H,8/18/2014,747327220,9/15/2014,9587,292.81,88.89,1238296.08,256632.35,968870.51
Europe,Bosnia and Herzegovina,JTSBQPV,Online,M,10/10/2011,166810500,11/21/2011,1789,400.68,75.97,237570.27,78298.61,648128.68
Europe,Lithuania,WKDGNQJQ DOKJ,Offline,M,3/31/2013,386009633,4/5/2013,7683,51.61,54.89,212762.48,906229.69,483719.44
Europe,Germany,WKDGNQJQ DOKJ,Offline,H,2/8/2016,993368613,2/16/2016,8702,51.61,54.89,413989.48,255451.75,794411.14
Europe,Germany,YVOW ABYK,Online,L,12/9/2014,405986297,1/2/2015,9222,194.89,609.6,5467163.82,8170059.12,743832.64
Europe,Bulgaria,STBZQKASF,Online,H,2/4/2016,476794040,3/7/2016,2807,68.74,89.25,272531.51,79380.47,97399.49
Europe,Serbia,NJDZ,Offline,C,12/21/2011,380610454,12/29/2011,9946,829.4,620.06,9655386.58,9599469.13,210283.8
Europe,France,ZNVGEIJCUP,Offline,L,2/1/2012,455040681,2/2/2012,5504,154.06,74.0,984065.34,729852.92,328119.56
Europe,Iceland,JTSBQPV,Online,M,9/10/2013,917792117,10/7/2013,3938,400.68,75.97,786502.97,100175.51,300328.61
Europe,Albania,FGIPCAOVI,Offline,L,6/27/2011,728793370,8/12/2011,5009,872.4,295.75,2775734.5,2322926.99,629178.3
Europe,Austria,SMSUAK,Offline,M,4/20/2011,185960614,5/28/2011,8733,7.6,2.21,64737.01,77158.76,49736.83
Europe,Finland,BKXKLU DDPSOJWD,Offline,H,11/29/2011,445273578,1/9/2012,5201,458.83,555.36,9617050.79,4742416.53,448559.12
Europe,Georgia,YVOW ABYK,Online,L,1/26/2014,359197413,3/8/2014,3352,194.89,609.6,653857.28,393570.81,819601.39
Europe,Romania,WKDGNQJQ DOKJ,Offline,L,5/14/2013,853036296,6/1/2013,1251,51.61,54.89,973633.69,14706.95,31350.06
Europe,Switzerland,SMSUAK,Offline,M,3/21/2012,567412793,3/27/2012,8910,7.6,2.21,47445.6,41388.8,28663.0
Europe,Ireland,FGIPCAOVI,Offline,H,8/27/2016,139201343,9/6/2016,1625,872.4,295.75,158269.0,695987.78,110071.64
Europe,Ukraine,FGIPCAOVI,Online,C,6/9/2014,183910119,6/11/2014,1946,872.4,295.75,419729.2,495898.28,338351.02
Europe,Luxembourg,JTSBQPV,Online,H,11/7/2013,922363460,11/23/2013,6700,400.68,75.97,296308.0,508103.0,834326.0
Europe,Austria,STBZQKASF,Offline,C,4/2/2012,192922341,5/1/2012,8863,68.74,89.25,981917.79,877756.27,255141.27
Europe,Monaco,BNBVXP,Online,L,6/3/2017,792178905,7/21/2017,2197,970.5,981.46,978905.4,759363.56,920865.52
Europe,Serbia,STBZQKASF,Online,M,12/20/2011,424297845,1/8/2012,8016,68.74,89.25,597895.6,211825.31,312819.64
Europe,Ireland,YVOW ABYK,Online,H,5/23/2017,243684327,5/30/2017,462,194.89,609.6,491941.72,73652.04,56012.03
Europe,San Marino,JTSBQPV,Offline,M,5/7/2012,152505099,5/19/2012,8503,400.68,75.97,566306.47,438223.01,172976.43
Europe,Georgia,YVOW ABYK,Online,L,6/24/2015,203036630,7/28/2015,1905,194.89,609.6,439518.1,219060.8,441253.1
Europe,Ukraine,KYUTZQ,Offline,C,1/25/2016,611791121,3/3/2016,1443,292.81,88.89,663434.68,655509.51,79567.02
Europe,San Marino,BNBVXP,Offline,C,7/22/2012,554554927,8/6/2012,3981,970.5,981.46,985037.3,751024.86,152188.73
Europe,Bosnia and Herzegovina,BKXKLU DDPSOJWD,Offline,H,7/11/2012,434275662,8/13/2012,674,458.83,555.36,970868.31,353823.04,68139.9
Europe,Germany,WKDGNQJQ DOKJ,Offline,H,7/27/2014,835093390,7/29/2014,1547,51.61,54.89,298349.81,52299.69,60937.68
Europe,Croatia,STBZQKASF,Online,M,2/6/2017,976323497,2/10/2017,4674,68.74,89.25,160918.8,303116.09,77984.5
Europe,Lithuania,STBZQKASF,Online,H,1/9/2014,732703387,1/28/2014,2069,68.74,89.25,98174.05,91437.82,86169.57
Europe,Slovenia,FDKLCUGLN,Online,C,9/10/2014,873432672,9/17/2014,6992,989.45,840.03,5983981.34,3257023.4,5245462.64
Europe,Serbia,JTSBQPV,Online,C,6/25/2011,523580348,8/4/2011,7915,400.68,75.97,772492.0,522761.1,362658.5
Europe,Greece,WKDGNQJQ DOKJ,Online,M,4/16/2017,800045716,5/14/2017,161,51.61,54.89,27080.86,3624.73,1788.34
Europe,Malta,ZNVGEIJCUP,Online,M,5/10/2016,743769109,5/11/2016,6662,154.06,74.0,4131157.53,574325.0,420572.06
Europe,San Marino,KYUTZQ,Offline,L,1/9/2013,201294267,2/9/2013,6302,292.81,88.89,546489.25,643801.74,114579.46
Europe,Portugal,NJDZ,Online,L,2/11/2013,668280589,3/28/2013,7932,829.4,620.06,9860246.24,2892721.08,753679.6
Europe,Albania,FDKLCUGLN,Online,C,7/14/2017,380379998,7/16/2017,1749,989.45,840.03,1850108.7,401655.29,186381.12
Europe,Netherlands,JTSBQPV,Online,H,1/16/2016,767490565,2/23/2016,6368,400.68,75.97,695895.04,135099.07,663734.13
Europe,Iceland,KYUTZQ,Offline,L,10/30/2012,720931279,11/18/2012,8441,292.81,88.89,6963287.01,822491.04,956705.83
Europe,United Kingdom,KYUTZQ,Online,L,7/13/2013,138025033,8/3/2013,3529,292.81,88.89,465451.57,579851.52,194589.06
Europe,Andorra,NJDZ,Offline,H,8/16/2016,552931869,9/9/2016,3682,829.4,620.06,1686141.51,7273662.96,866030.0
Europe,Liechtenstein,SMSUAK,Online,L,2/8/2014,142375361,2/19/2014,888,7.6,2.21,8285.04,9301.55,2140.08
Europe,Belgium,FGIPCAOVI,Offline,C,6/27/2014,916089236,7/28/2014,17,872.4,295.75,2333.9,1493.93,1393.55
Europe,Luxembourg,SMSUAK,Offline,L,12/6/2011,242265546,1/7/2012,614,7.6,2.21,1391.42,5718.67,8311.8
Europe,Malta,FGIPCAOVI,Online,M,1/12/2015,265914475,2/21/2015,8857,872.4,295.75,9490687.6,9696710.2,1433509.16
Europe,Slovakia,KYUTZQ,Online,L,7/26/2015,637040793,8/4/2015,3382,292.81,88.89,129438.61,329542.08,679769.62
Europe,Andorra,WKDGNQJQ DOKJ,Offline,L,12/12/2014,754541289,12/19/2014,4390,51.61,54.89,159017.6,912279.0,577941.0
Europe,Serbia,ZNVGEIJCUP,Offline,L,3/16/2015,697638976,3/26/2015,5731,154.06,74.0,968814.28,964284.54,361798.03
Europe,Czech Republic,YVOW ABYK,Online,C,3/10/2016,467312324,4/8/2016,6956,194.89,609.6,3462856.39,8779402.2,693432.65
Europe,Slovenia,JTSBQPV,Online,L,5/26/2012,622441852,5/28/2012,3231,400.68,75.97,628196.09,115799.04,374139.95
Europe,Bulgaria,NJDZ,Online,C,7/27/2016,349212729,9/11/2016,8662,829.4,620.06,9878173.22,4170884.91,162377.7
Europe,Hungary,FGIPCAOVI,Online,H,10/6/2010,332353007,11/22/2010,9495,872.4,295.75,1566149.0,7175977.79,5672634.01
Europe,Slovakia,NJDZ,Offline,H,8/8/2013,876856458,8/29/2013,166,829.4,620.06,68700.39,74504.21,4333.3
Europe,Bulgaria,STBZQKASF,Offline,C,10/19/2013,313178002,12/6/2013,5185,68.74,89.25,557801.95,787867.66,63018.6
Europe,Kosovo,WKDGNQJQ DOKJ,Online,L,2/17/2016,461445796,3/22/2016,920,51.61,54.89,94784.9,90890.4,52720.1
Europe,Spain,FGIPCAOVI,Offline,C,1/3/2017,391026866,1/8/2017,2394,872.4,295.75,5420117.6,630412.02,506494.94
Europe,Germany,ZNVGEIJCUP,Offline,C,8/7/2015,204418504,9/3/2015,833,154.06,74.0,283034.04,59505.58,52629.48
Europe,Romania,NJDZ,Offline,L,12/22/2012,524972951,1/17/2013,17,829.4,620.06,8205.18,5090.04,300.3
Europe,Latvia,STBZQKASF,Online,C,11/27/2013,469197165,12/11/2013,4723,68.74,89.25,605855.66,569659.19,70458.37
Europe,Sweden,FDKLCUGLN,Offline,H,6/23/2010,688650786,8/7/2010,5926,989.45,840.03,3960168.02,2978052.04,294706.86
