Original,Replacement,SourceFile,ColumnName,Type
27948.05,99120.74,Europe Sales Records.csv,Total Revenue,numeric
686029.18,555785.71,Europe Sales Records.csv,Total Revenue,numeric
63332.04,34246.42,Europe Sales Records.csv,Total Revenue,numeric
2544631.04,3818464.42,Europe Sales Records.csv,Total Revenue,numeric
2283495.6,9679293.3,Europe Sales Records.csv,Total Revenue,numeric
818058.6,470290.2,Europe Sales Records.csv,Total Revenue,numeric
1472505.48,2100294.66,Europe Sales Records.csv,Total Revenue,numeric
661359.16,296297.45,Europe Sales Records.csv,Total Revenue,numeric
794829.6,228724.9,Europe Sales Records.csv,Total Revenue,numeric
4205426.8,5763851.3,Europe Sales Records.csv,Total Revenue,numeric
1316478.96,4255206.6,Europe Sales Records.csv,Total Revenue,numeric
121002.72,946158.74,Europe Sales Records.csv,Total Revenue,numeric
360038.22,522410.11,Europe Sales Records.csv,Total Revenue,numeric
3843862.4,5972993.6,Europe Sales Records.csv,Total Revenue,numeric
14326.62,58772.37,Europe Sales Records.csv,Total Revenue,numeric
1993353.81,9937186.64,Europe Sales Records.csv,Total Revenue,numeric
108425.73,830165.82,Europe Sales Records.csv,Total Revenue,numeric
85574.76,73497.42,Europe Sales Records.csv,Total Revenue,numeric
177323.06,628782.52,Europe Sales Records.csv,Total Revenue,numeric
878097.9,756566.6,Europe Sales Records.csv,Total Revenue,numeric
611340.4,965389.1,Europe Sales Records.csv,Total Revenue,numeric
548148.48,131245.73,Europe Sales Records.csv,Total Revenue,numeric
98157.73,67672.04,Europe Sales Records.csv,Total Revenue,numeric
1001347.6,5195524.6,Europe Sales Records.csv,Total Revenue,numeric
379926.8,548425.0,Europe Sales Records.csv,Total Revenue,numeric
705002.98,842080.42,Europe Sales Records.csv,Total Revenue,numeric
18144.06,13319.95,Europe Sales Records.csv,Total Revenue,numeric
623495.91,682775.82,Europe Sales Records.csv,Total Revenue,numeric
760491.26,178783.24,Europe Sales Records.csv,Total Revenue,numeric
768451.28,429462.79,Europe Sales Records.csv,Total Revenue,numeric
91629.93,34762.58,Europe Sales Records.csv,Total Revenue,numeric
2313092.08,8774713.39,Europe Sales Records.csv,Total Revenue,numeric
325127.4,957224.6,Europe Sales Records.csv,Total Revenue,numeric
620824,830713.0,Europe Sales Records.csv,Total Revenue,numeric
25237.65,91801.76,Europe Sales Records.csv,Total Revenue,numeric
791881.97,483705.44,Europe Sales Records.csv,Total Revenue,numeric
288528.78,714545.2,Europe Sales Records.csv,Total Revenue,numeric
58079.25,77616.81,Europe Sales Records.csv,Total Revenue,numeric
530345.97,521974.78,Europe Sales Records.csv,Total Revenue,numeric
536644.08,748453.71,Europe Sales Records.csv,Total Revenue,numeric
3785714.8,5717605.5,Europe Sales Records.csv,Total Revenue,numeric
278869.29,127158.07,Europe Sales Records.csv,Total Revenue,numeric
190757.82,792748.96,Europe Sales Records.csv,Total Revenue,numeric
1908484.6,6863979.1,Europe Sales Records.csv,Total Revenue,numeric
1636439.6,6167616.3,Europe Sales Records.csv,Total Revenue,numeric
413553.8,328715.8,Europe Sales Records.csv,Total Revenue,numeric
148359.78,504268.74,Europe Sales Records.csv,Total Revenue,numeric
301212.6,341980.7,Europe Sales Records.csv,Total Revenue,numeric
79146.6,71415.7,Europe Sales Records.csv,Total Revenue,numeric
2772239.19,1647290.54,Europe Sales Records.csv,Total Revenue,numeric
2193110.48,1361052.22,Europe Sales Records.csv,Total Revenue,numeric
551023.66,920630.03,Europe Sales Records.csv,Total Revenue,numeric
262873,800827.0,Europe Sales Records.csv,Total Revenue,numeric
278106.4,441568.1,Europe Sales Records.csv,Total Revenue,numeric
516572.71,679067.06,Europe Sales Records.csv,Total Revenue,numeric
206776.8,641796.3,Europe Sales Records.csv,Total Revenue,numeric
4337058.6,1132734.5,Europe Sales Records.csv,Total Revenue,numeric
3207629.67,7625838.56,Europe Sales Records.csv,Total Revenue,numeric
61297.5,51537.9,Europe Sales Records.csv,Total Revenue,numeric
154497.2,434126.6,Europe Sales Records.csv,Total Revenue,numeric
952185.3,436506.3,Europe Sales Records.csv,Total Revenue,numeric
158862.6,271667.4,Europe Sales Records.csv,Total Revenue,numeric
2413417.12,7688699.47,Europe Sales Records.csv,Total Revenue,numeric
399149.4,861391.4,Europe Sales Records.csv,Total Revenue,numeric
1245729.16,6318013.04,Europe Sales Records.csv,Total Revenue,numeric
85139.64,67222.54,Europe Sales Records.csv,Total Revenue,numeric
22792.35,85554.29,Europe Sales Records.csv,Total Revenue,numeric
513173.86,611000.68,Europe Sales Records.csv,Total Revenue,numeric
1810445.2,1222160.1,Europe Sales Records.csv,Total Revenue,numeric
1319771.2,2661312.7,Europe Sales Records.csv,Total Revenue,numeric
55352.85,98346.94,Europe Sales Records.csv,Total Revenue,numeric
1420888.48,6379888.01,Europe Sales Records.csv,Total Revenue,numeric
179437.76,720788.92,Europe Sales Records.csv,Total Revenue,numeric
748891.5,598281.4,Europe Sales Records.csv,Total Revenue,numeric
1339454.16,4183488.92,Europe Sales Records.csv,Total Revenue,numeric
324876.75,610961.35,Europe Sales Records.csv,Total Revenue,numeric
443799.85,653792.73,Europe Sales Records.csv,Total Revenue,numeric
1436569.26,5165281.1,Europe Sales Records.csv,Total Revenue,numeric
39858,96174.0,Europe Sales Records.csv,Total Revenue,numeric
6036716.7,7237491.7,Europe Sales Records.csv,Total Revenue,numeric
740520,534530.0,Europe Sales Records.csv,Total Revenue,numeric
637534.59,610348.73,Europe Sales Records.csv,Total Revenue,numeric
1833156.15,3361489.89,Europe Sales Records.csv,Total Revenue,numeric
1411386.24,9727668.42,Europe Sales Records.csv,Total Revenue,numeric
1380543.84,4358407.6,Europe Sales Records.csv,Total Revenue,numeric
939303.82,282169.25,Europe Sales Records.csv,Total Revenue,numeric
437294.28,948494.54,Europe Sales Records.csv,Total Revenue,numeric
6468853.6,8233800.7,Europe Sales Records.csv,Total Revenue,numeric
778886.9,237311.9,Europe Sales Records.csv,Total Revenue,numeric
82629.03,84759.48,Europe Sales Records.csv,Total Revenue,numeric
3248974.89,2435171.02,Europe Sales Records.csv,Total Revenue,numeric
1303039.48,4138209.31,Europe Sales Records.csv,Total Revenue,numeric
6155888.13,1543250.36,Europe Sales Records.csv,Total Revenue,numeric
299910.6,999309.3,Europe Sales Records.csv,Total Revenue,numeric
97707.5,13539.8,Europe Sales Records.csv,Total Revenue,numeric
1245764.73,3094576.11,Europe Sales Records.csv,Total Revenue,numeric
68668.8,89426.4,Europe Sales Records.csv,Total Revenue,numeric
371486.05,136748.49,Europe Sales Records.csv,Total Revenue,numeric
3006187.2,9907693.2,Europe Sales Records.csv,Total Revenue,numeric
601775.52,840288.52,Europe Sales Records.csv,Total Revenue,numeric
978495.54,123208.68,Europe Sales Records.csv,Total Revenue,numeric
218981.75,304312.96,Europe Sales Records.csv,Total Revenue,numeric
1922003.12,4763078.8,Europe Sales Records.csv,Total Revenue,numeric
2218719.51,6353321.83,Europe Sales Records.csv,Total Revenue,numeric
32319.12,87360.61,Europe Sales Records.csv,Total Revenue,numeric
1462784.46,9443950.74,Europe Sales Records.csv,Total Revenue,numeric
195501.92,802911.35,Europe Sales Records.csv,Total Revenue,numeric
627931.59,531314.06,Europe Sales Records.csv,Total Revenue,numeric
711214.46,240531.73,Europe Sales Records.csv,Total Revenue,numeric
2354192.16,8692479.43,Europe Sales Records.csv,Total Revenue,numeric
133192.15,938051.92,Europe Sales Records.csv,Total Revenue,numeric
4196117.94,3107458.82,Europe Sales Records.csv,Total Revenue,numeric
847946.24,603180.85,Europe Sales Records.csv,Total Revenue,numeric
430344.64,787963.19,Europe Sales Records.csv,Total Revenue,numeric
2189934.8,8574960.0,Europe Sales Records.csv,Total Revenue,numeric
81478.89,69428.05,Europe Sales Records.csv,Total Revenue,numeric
3386943.21,8099709.5,Europe Sales Records.csv,Total Revenue,numeric
855698.56,113193.25,Europe Sales Records.csv,Total Revenue,numeric
102244.23,332591.85,Europe Sales Records.csv,Total Revenue,numeric
83130.3,58262.9,Europe Sales Records.csv,Total Revenue,numeric
710450,501371.0,Europe Sales Records.csv,Total Revenue,numeric
850791.2,500976.7,Europe Sales Records.csv,Total Revenue,numeric
732176,601519.0,Europe Sales Records.csv,Total Revenue,numeric
420549.35,865075.08,Europe Sales Records.csv,Total Revenue,numeric
451922.9,773958.3,Europe Sales Records.csv,Total Revenue,numeric
380359.2,922103.9,Europe Sales Records.csv,Total Revenue,numeric
117939.36,793617.37,Europe Sales Records.csv,Total Revenue,numeric
929207.84,999695.7,Europe Sales Records.csv,Total Revenue,numeric
486308.4,676924.0,Europe Sales Records.csv,Total Revenue,numeric
220172.94,988147.65,Europe Sales Records.csv,Total Revenue,numeric
818891.7,459509.8,Europe Sales Records.csv,Total Revenue,numeric
438915.54,986406.55,Europe Sales Records.csv,Total Revenue,numeric
126436.31,610305.14,Europe Sales Records.csv,Total Revenue,numeric
221781.3,553015.2,Europe Sales Records.csv,Total Revenue,numeric
98174.05,62400.35,Europe Sales Records.csv,Total Revenue,numeric
4672543.84,2213398.68,Europe Sales Records.csv,Total Revenue,numeric
864951.2,124511.0,Europe Sales Records.csv,Total Revenue,numeric
13158.53,30430.23,Europe Sales Records.csv,Total Revenue,numeric
1026347.72,9125902.97,Europe Sales Records.csv,Total Revenue,numeric
961559.16,406106.41,Europe Sales Records.csv,Total Revenue,numeric
3346431.48,3678656.51,Europe Sales Records.csv,Total Revenue,numeric
1168804.23,2470047.22,Europe Sales Records.csv,Total Revenue,numeric
695895.04,721131.86,Europe Sales Records.csv,Total Revenue,numeric
1287927.78,4852562.18,Europe Sales Records.csv,Total Revenue,numeric
538454.82,501024.31,Europe Sales Records.csv,Total Revenue,numeric
1553398.98,6907411.7,Europe Sales Records.csv,Total Revenue,numeric
8285.04,9551.02,Europe Sales Records.csv,Total Revenue,numeric
7432.4,9027.8,Europe Sales Records.csv,Total Revenue,numeric
5728.62,6712.03,Europe Sales Records.csv,Total Revenue,numeric
3872280.4,7305881.2,Europe Sales Records.csv,Total Revenue,numeric
516025.56,389630.78,Europe Sales Records.csv,Total Revenue,numeric
358794.7,718263.7,Europe Sales Records.csv,Total Revenue,numeric
882917.86,191548.49,Europe Sales Records.csv,Total Revenue,numeric
1775727.68,8945440.0,Europe Sales Records.csv,Total Revenue,numeric
353083.68,862401.76,Europe Sales Records.csv,Total Revenue,numeric
3654411.18,4028068.92,Europe Sales Records.csv,Total Revenue,numeric
4151214,1852720.0,Europe Sales Records.csv,Total Revenue,numeric
70033.74,22822.34,Europe Sales Records.csv,Total Revenue,numeric
246028.25,536621.85,Europe Sales Records.csv,Total Revenue,numeric
75191.6,22029.8,Europe Sales Records.csv,Total Revenue,numeric
1046656.8,1084828.8,Europe Sales Records.csv,Total Revenue,numeric
128331.98,740356.61,Europe Sales Records.csv,Total Revenue,numeric
7172.13,8561.11,Europe Sales Records.csv,Total Revenue,numeric
224106.35,627995.92,Europe Sales Records.csv,Total Revenue,numeric
3960168.02,5158497.02,Europe Sales Records.csv,Total Revenue,numeric
1888509,8606023.0,Europe Sales Records.csv,Total Revenue,numeric
32878.92,52692.73,Europe Sales Records.csv,Total Revenue,numeric
467505.12,397049.21,Europe Sales Records.csv,Total Revenue,numeric
1632714.3,7683477.6,Europe Sales Records.csv,Total Revenue,numeric
75797.52,70989.54,Europe Sales Records.csv,Total Revenue,numeric
2826902.61,5444557.99,Europe Sales Records.csv,Total Revenue,numeric
2097031.26,4852514.56,Europe Sales Records.csv,Total Revenue,numeric
681907.2,326139.1,Europe Sales Records.csv,Total Revenue,numeric
124965.17,702773.35,Europe Sales Records.csv,Total Revenue,numeric
1040776.56,2317196.66,Europe Sales Records.csv,Total Revenue,numeric
1427781.04,9013999.13,Europe Sales Records.csv,Total Revenue,numeric
5598452.37,5871905.18,Europe Sales Records.csv,Total Revenue,numeric
3964845.91,5533977.11,Europe Sales Records.csv,Total Revenue,numeric
221896.95,364478.68,Europe Sales Records.csv,Total Revenue,numeric
4016993.6,3379276.5,Europe Sales Records.csv,Total Revenue,numeric
4117224.51,1839590.38,Europe Sales Records.csv,Total Revenue,numeric
1227963.84,6215079.84,Europe Sales Records.csv,Total Revenue,numeric
1159737.04,7937175.06,Europe Sales Records.csv,Total Revenue,numeric
1743051.84,7410370.96,Europe Sales Records.csv,Total Revenue,numeric
643215.1,462373.2,Europe Sales Records.csv,Total Revenue,numeric
9171.39,9421.13,Europe Sales Records.csv,Total Revenue,numeric
28381.86,46044.75,Europe Sales Records.csv,Total Revenue,numeric
3016935.39,5175124.61,Europe Sales Records.csv,Total Revenue,numeric
1899433.8,8232020.7,Europe Sales Records.csv,Total Revenue,numeric
1083401.92,2736727.34,Europe Sales Records.csv,Total Revenue,numeric
3645373.6,7619500.7,Europe Sales Records.csv,Total Revenue,numeric
5126325.12,5472181.3,Europe Sales Records.csv,Total Revenue,numeric
959880.78,907034.64,Europe Sales Records.csv,Total Revenue,numeric
38803.47,66719.38,Europe Sales Records.csv,Total Revenue,numeric
201926.48,719481.24,Europe Sales Records.csv,Total Revenue,numeric
1302728.04,6919290.75,Europe Sales Records.csv,Total Revenue,numeric
554047.67,727577.15,Europe Sales Records.csv,Total Revenue,numeric
1992970.96,4008672.95,Europe Sales Records.csv,Total Revenue,numeric
422188.86,721722.53,Europe Sales Records.csv,Total Revenue,numeric
935010.24,811987.59,Europe Sales Records.csv,Total Revenue,numeric
913391.84,509669.59,Europe Sales Records.csv,Total Revenue,numeric
2161853.45,2396008.68,Europe Sales Records.csv,Total Revenue,numeric
290877.07,783815.03,Europe Sales Records.csv,Total Revenue,numeric
1366358.14,9177816.25,Europe Sales Records.csv,Total Revenue,numeric
243038.9,909569.1,Europe Sales Records.csv,Total Revenue,numeric
730705.62,744297.08,Europe Sales Records.csv,Total Revenue,numeric
151527.42,717223.56,Europe Sales Records.csv,Total Revenue,numeric
6672675.95,9559588.78,Europe Sales Records.csv,Total Revenue,numeric
1449477.63,3984824.16,Europe Sales Records.csv,Total Revenue,numeric
153243.75,442627.81,Europe Sales Records.csv,Total Revenue,numeric
69844.38,99877.58,Europe Sales Records.csv,Total Revenue,numeric
69928.35,78857.97,Europe Sales Records.csv,Total Revenue,numeric
1052361.2,1125894.3,Europe Sales Records.csv,Total Revenue,numeric
449986.11,409981.11,Europe Sales Records.csv,Total Revenue,numeric
218554.7,748877.1,Europe Sales Records.csv,Total Revenue,numeric
146047,747392.0,Europe Sales Records.csv,Total Revenue,numeric
208590.2,672808.4,Europe Sales Records.csv,Total Revenue,numeric
395590.65,914902.62,Europe Sales Records.csv,Total Revenue,numeric
84193.92,80217.64,Europe Sales Records.csv,Total Revenue,numeric
1300591.92,5798715.14,Europe Sales Records.csv,Total Revenue,numeric
6222261.97,2538051.8,Europe Sales Records.csv,Total Revenue,numeric
752565.44,309647.99,Europe Sales Records.csv,Total Revenue,numeric
571537.89,658192.17,Europe Sales Records.csv,Total Revenue,numeric
1074165.4,1240952.4,Europe Sales Records.csv,Total Revenue,numeric
1600589.2,4742927.6,Europe Sales Records.csv,Total Revenue,numeric
1336.54,4356.68,Europe Sales Records.csv,Total Revenue,numeric
453574.55,684991.15,Europe Sales Records.csv,Total Revenue,numeric
52630.53,20459.34,Europe Sales Records.csv,Total Revenue,numeric
1951360.32,5715674.58,Europe Sales Records.csv,Total Revenue,numeric
317867.55,848631.78,Europe Sales Records.csv,Total Revenue,numeric
4183566.8,6500991.0,Europe Sales Records.csv,Total Revenue,numeric
753295.6,165776.8,Europe Sales Records.csv,Total Revenue,numeric
473799.68,475172.26,Europe Sales Records.csv,Total Revenue,numeric
944622.78,197270.65,Europe Sales Records.csv,Total Revenue,numeric
84287.22,75652.59,Europe Sales Records.csv,Total Revenue,numeric
6340180.56,6719121.26,Europe Sales Records.csv,Total Revenue,numeric
2522206.8,8365438.1,Europe Sales Records.csv,Total Revenue,numeric
588582.08,467215.44,Europe Sales Records.csv,Total Revenue,numeric
1829723.26,4798911.14,Europe Sales Records.csv,Total Revenue,numeric
1067993.44,6639563.66,Europe Sales Records.csv,Total Revenue,numeric
278768.75,329355.68,Europe Sales Records.csv,Total Revenue,numeric
6745.59,7430.45,Europe Sales Records.csv,Total Revenue,numeric
960571.2,893463.1,Europe Sales Records.csv,Total Revenue,numeric
3513763.66,8309301.64,Europe Sales Records.csv,Total Revenue,numeric
377464.75,899213.92,Europe Sales Records.csv,Total Revenue,numeric
781024.16,458597.13,Europe Sales Records.csv,Total Revenue,numeric
59549.75,95586.03,Europe Sales Records.csv,Total Revenue,numeric
105671.15,131640.79,Europe Sales Records.csv,Total Revenue,numeric
458020.38,641356.78,Europe Sales Records.csv,Total Revenue,numeric
5117611.66,6903123.01,Europe Sales Records.csv,Total Revenue,numeric
397773.35,253647.26,Europe Sales Records.csv,Total Revenue,numeric
2905637.96,5797907.86,Europe Sales Records.csv,Total Revenue,numeric
1830357.6,9159189.4,Europe Sales Records.csv,Total Revenue,numeric
2046242.74,1503022.77,Europe Sales Records.csv,Total Revenue,numeric
64899.48,88564.04,Europe Sales Records.csv,Total Revenue,numeric
1661617.52,5803204.72,Europe Sales Records.csv,Total Revenue,numeric
393954.4,450714.8,Europe Sales Records.csv,Total Revenue,numeric
892623.64,143707.87,Europe Sales Records.csv,Total Revenue,numeric
609563.84,416289.5,Europe Sales Records.csv,Total Revenue,numeric
6045833.64,2030318.14,Europe Sales Records.csv,Total Revenue,numeric
492668.44,183021.94,Europe Sales Records.csv,Total Revenue,numeric
588144.96,667541.14,Europe Sales Records.csv,Total Revenue,numeric
276587.68,188491.44,Europe Sales Records.csv,Total Revenue,numeric
930579.09,558357.55,Europe Sales Records.csv,Total Revenue,numeric
611650.88,172979.35,Europe Sales Records.csv,Total Revenue,numeric
2997443.2,5188442.8,Europe Sales Records.csv,Total Revenue,numeric
1061218.08,2138514.43,Europe Sales Records.csv,Total Revenue,numeric
1696846.16,5807530.34,Europe Sales Records.csv,Total Revenue,numeric
1299523.86,2471506.98,Europe Sales Records.csv,Total Revenue,numeric
44168.22,14676.46,Europe Sales Records.csv,Total Revenue,numeric
267478.26,123449.4,Europe Sales Records.csv,Total Revenue,numeric
867819.98,586115.05,Europe Sales Records.csv,Total Revenue,numeric
77532.3,25792.2,Europe Sales Records.csv,Total Revenue,numeric
1366820.32,2098359.81,Europe Sales Records.csv,Total Revenue,numeric
4179632,9555796.0,Europe Sales Records.csv,Total Revenue,numeric
2001395.2,8347329.4,Europe Sales Records.csv,Total Revenue,numeric
7977.15,1195.42,Europe Sales Records.csv,Total Revenue,numeric
1574016.4,8540896.5,Europe Sales Records.csv,Total Revenue,numeric
41854.38,53881.19,Europe Sales Records.csv,Total Revenue,numeric
429673.34,218736.66,Europe Sales Records.csv,Total Revenue,numeric
630303.66,862651.0,Europe Sales Records.csv,Total Revenue,numeric
627485.76,745363.71,Europe Sales Records.csv,Total Revenue,numeric
5662251.71,9565321.51,Europe Sales Records.csv,Total Revenue,numeric
1005807.36,1730475.48,Europe Sales Records.csv,Total Revenue,numeric
1078265.94,4535614.88,Europe Sales Records.csv,Total Revenue,numeric
490236.18,652474.94,Europe Sales Records.csv,Total Revenue,numeric
920918.9,865166.7,Europe Sales Records.csv,Total Revenue,numeric
3938765.04,1637369.33,Europe Sales Records.csv,Total Revenue,numeric
92908.14,59215.75,Europe Sales Records.csv,Total Revenue,numeric
800558.08,696423.93,Europe Sales Records.csv,Total Revenue,numeric
420337.39,731455.36,Europe Sales Records.csv,Total Revenue,numeric
1073909.89,3417948.24,Europe Sales Records.csv,Total Revenue,numeric
1050180.8,9867757.9,Europe Sales Records.csv,Total Revenue,numeric
53333.8,78156.5,Europe Sales Records.csv,Total Revenue,numeric
124066.08,980494.42,Europe Sales Records.csv,Total Revenue,numeric
414855.35,857196.23,Europe Sales Records.csv,Total Revenue,numeric
929317.12,385002.26,Europe Sales Records.csv,Total Revenue,numeric
1397352.57,3842115.75,Europe Sales Records.csv,Total Revenue,numeric
1829248.89,9390340.5,Europe Sales Records.csv,Total Revenue,numeric
1893718.68,5891255.95,Europe Sales Records.csv,Total Revenue,numeric
420815.64,718988.03,Europe Sales Records.csv,Total Revenue,numeric
1919939.71,1768983.39,Europe Sales Records.csv,Total Revenue,numeric
2310794.56,2229955.2,Europe Sales Records.csv,Total Revenue,numeric
2205874.48,6854127.76,Europe Sales Records.csv,Total Revenue,numeric
85154.91,99643.0,Europe Sales Records.csv,Total Revenue,numeric
229007.46,277949.19,Europe Sales Records.csv,Total Revenue,numeric
3847797.2,7620509.5,Europe Sales Records.csv,Total Revenue,numeric
776000.22,534012.06,Europe Sales Records.csv,Total Revenue,numeric
2380377.74,2346002.25,Europe Sales Records.csv,Total Revenue,numeric
64388.76,85747.68,Europe Sales Records.csv,Total Revenue,numeric
214459.52,807623.87,Europe Sales Records.csv,Total Revenue,numeric
84921.66,56094.06,Europe Sales Records.csv,Total Revenue,numeric
146530.72,148496.57,Europe Sales Records.csv,Total Revenue,numeric
408108.8,341530.0,Europe Sales Records.csv,Total Revenue,numeric
469660.1,702002.2,Europe Sales Records.csv,Total Revenue,numeric
1504695.5,3579910.6,Europe Sales Records.csv,Total Revenue,numeric
361521.55,657558.86,Europe Sales Records.csv,Total Revenue,numeric
1571959.4,3379845.2,Europe Sales Records.csv,Total Revenue,numeric
5768418.18,4894160.12,Europe Sales Records.csv,Total Revenue,numeric
672399.84,156800.18,Europe Sales Records.csv,Total Revenue,numeric
3090566.8,1560160.0,Europe Sales Records.csv,Total Revenue,numeric
266587.2,550888.3,Europe Sales Records.csv,Total Revenue,numeric
68015.7,10530.5,Europe Sales Records.csv,Total Revenue,numeric
1463724.06,7142652.66,Europe Sales Records.csv,Total Revenue,numeric
39057.84,64944.18,Europe Sales Records.csv,Total Revenue,numeric
4825466.1,9700940.1,Europe Sales Records.csv,Total Revenue,numeric
158147.55,713787.46,Europe Sales Records.csv,Total Revenue,numeric
1061935.58,1072046.07,Europe Sales Records.csv,Total Revenue,numeric
2402184.8,8893023.3,Europe Sales Records.csv,Total Revenue,numeric
3474865.6,4031437.9,Europe Sales Records.csv,Total Revenue,numeric
502445.94,604725.69,Europe Sales Records.csv,Total Revenue,numeric
894501.12,347044.14,Europe Sales Records.csv,Total Revenue,numeric
983835.84,320504.17,Europe Sales Records.csv,Total Revenue,numeric
1892390.64,2626047.21,Europe Sales Records.csv,Total Revenue,numeric
3112864,1195058.0,Europe Sales Records.csv,Total Revenue,numeric
3489.42,5945.39,Europe Sales Records.csv,Total Revenue,numeric
3918735.28,9548098.67,Europe Sales Records.csv,Total Revenue,numeric
4077988.74,7766446.52,Europe Sales Records.csv,Total Revenue,numeric
3942669.6,5655255.2,Europe Sales Records.csv,Total Revenue,numeric
2988668.76,9252811.69,Europe Sales Records.csv,Total Revenue,numeric
23539.59,94064.39,Europe Sales Records.csv,Total Revenue,numeric
881233.92,360456.51,Europe Sales Records.csv,Total Revenue,numeric
241757.34,955135.2,Europe Sales Records.csv,Total Revenue,numeric
288989.2,428634.6,Europe Sales Records.csv,Total Revenue,numeric
679830.14,761661.88,Europe Sales Records.csv,Total Revenue,numeric
539826.65,653064.2,Europe Sales Records.csv,Total Revenue,numeric
255665.34,702232.66,Europe Sales Records.csv,Total Revenue,numeric
3224083.38,9293868.45,Europe Sales Records.csv,Total Revenue,numeric
636268.05,739243.52,Europe Sales Records.csv,Total Revenue,numeric
4460788.5,9069493.2,Europe Sales Records.csv,Total Revenue,numeric
1201862.8,1428940.5,Europe Sales Records.csv,Total Revenue,numeric
3936986,8154280.0,Europe Sales Records.csv,Total Revenue,numeric
650080.42,147988.83,Europe Sales Records.csv,Total Revenue,numeric
623027.79,125088.08,Europe Sales Records.csv,Total Revenue,numeric
2865054.99,6601955.78,Europe Sales Records.csv,Total Revenue,numeric
4100498.8,7776511.1,Europe Sales Records.csv,Total Revenue,numeric
191745.45,301164.57,Europe Sales Records.csv,Total Revenue,numeric
